               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  99,             0.10168,             0.14785,            0.023883,             0.45367,             0.34621,             0.33991,             0.18315,            0.099769,             0.20734,            0.028876,            0.005149,            0.005149,            0.005149
                 100,             0.10133,             0.14785,             0.02376,             0.45359,              0.3438,              0.3392,             0.18323,            0.099751,             0.20734,            0.028931,           0.0050995,           0.0050995,           0.0050995
                 101,             0.10119,             0.14695,            0.023591,             0.45259,             0.34615,             0.34019,             0.18346,            0.099702,             0.20737,            0.028876,             0.00505,             0.00505,             0.00505
                 102,             0.10144,             0.14683,            0.023669,             0.45244,             0.34693,             0.34096,             0.18407,            0.099679,             0.20737,            0.028875,           0.0050005,           0.0050005,           0.0050005
                 103,             0.10154,             0.14658,            0.023926,             0.45152,             0.34686,              0.3403,             0.18434,            0.099684,              0.2071,            0.028908,            0.004951,            0.004951,            0.004951
                 104,             0.10138,             0.14649,            0.023661,             0.45845,             0.34556,             0.34151,             0.18462,            0.099648,             0.20716,            0.028936,           0.0049015,           0.0049015,           0.0049015
                 105,             0.10118,             0.14694,            0.023563,             0.45346,             0.34593,             0.34134,             0.18431,            0.099621,             0.20715,            0.028941,            0.004852,            0.004852,            0.004852
                 106,              0.1011,             0.14829,             0.02367,             0.46126,             0.34349,             0.34203,             0.18472,            0.099609,             0.20704,            0.028927,           0.0048025,           0.0048025,           0.0048025
                 107,             0.10077,             0.14649,            0.023554,             0.45671,             0.34465,             0.34162,             0.18436,            0.099623,             0.20732,            0.028926,            0.004753,            0.004753,            0.004753
                 108,             0.10093,             0.14624,            0.023541,             0.45309,             0.34497,             0.34136,             0.18441,             0.09961,             0.20725,             0.02893,           0.0047035,           0.0047035,           0.0047035
                 109,               0.101,              0.1466,            0.023578,             0.45706,             0.34363,             0.34184,             0.18442,              0.0996,             0.20723,            0.028916,            0.004654,            0.004654,            0.004654
                 110,             0.10119,             0.14715,            0.023329,             0.45489,             0.34851,             0.34351,             0.18521,            0.099618,             0.20729,            0.028902,           0.0046045,           0.0046045,           0.0046045
                 111,             0.10132,             0.14716,            0.023522,              0.4591,             0.34622,             0.34405,             0.18601,            0.099594,             0.20716,            0.028851,            0.004555,            0.004555,            0.004555
                 112,             0.10084,             0.14612,             0.02327,             0.46317,              0.3467,             0.34442,              0.1863,            0.099582,             0.20717,            0.028826,           0.0045055,           0.0045055,           0.0045055
                 113,             0.10057,             0.14517,             0.02318,             0.46087,             0.34681,             0.34443,             0.18675,            0.099547,             0.20698,            0.028831,            0.004456,            0.004456,            0.004456
                 114,             0.10091,             0.14668,            0.023402,             0.46213,             0.34604,             0.34501,             0.18754,            0.099535,             0.20692,            0.028809,           0.0044065,           0.0044065,           0.0044065
                 115,             0.10105,             0.14718,             0.02329,             0.46075,             0.34488,             0.34493,             0.18745,            0.099525,              0.2069,            0.028807,            0.004357,            0.004357,            0.004357
                 116,              0.1011,             0.14568,            0.023312,             0.45757,             0.34433,             0.34493,             0.18754,            0.099501,             0.20697,            0.028817,           0.0043075,           0.0043075,           0.0043075
                 117,             0.10086,             0.14579,             0.02323,             0.45727,              0.3448,             0.34569,             0.18773,            0.099496,             0.20699,            0.028838,            0.004258,            0.004258,            0.004258
                 118,             0.10091,              0.1466,            0.023226,             0.45343,              0.3469,             0.34566,             0.18738,            0.099499,             0.20699,            0.028807,           0.0042085,           0.0042085,           0.0042085
                 119,             0.10077,             0.14676,            0.023149,             0.45143,             0.34869,             0.34494,             0.18757,            0.099484,              0.2071,            0.028774,            0.004159,            0.004159,            0.004159
                 120,             0.10114,             0.14535,            0.023066,             0.45368,             0.34756,             0.34485,             0.18712,            0.099478,             0.20723,            0.028785,           0.0041095,           0.0041095,           0.0041095
                 121,             0.10033,             0.14498,             0.02311,             0.46011,             0.34632,             0.34547,             0.18736,            0.099459,             0.20726,            0.028806,             0.00406,             0.00406,             0.00406
                 122,             0.10063,             0.14541,            0.022961,             0.45524,             0.34736,             0.34557,             0.18727,            0.099452,             0.20728,            0.028796,           0.0040105,           0.0040105,           0.0040105
                 123,              0.1004,             0.14587,            0.022981,             0.45932,             0.34583,             0.34616,             0.18785,            0.099451,             0.20732,            0.028812,            0.003961,            0.003961,            0.003961
